file_path,label,split
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00000.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00001.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00002.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00003.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00004.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00005.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00006.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00007.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00008.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00009.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00010.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00011.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00012.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00013.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\rashes\rashes_train_00014.jpg,rashes,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00015.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00016.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\eczema\eczema_train_00017.jpg,eczema,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00018.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\acne\acne_train_00019.jpg,acne,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\eczema\eczema_train_00020.jpg,eczema,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00021.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00022.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00023.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00024.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\rashes\rashes_train_00025.jpg,rashes,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00026.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\eczema\eczema_train_00027.jpg,eczema,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\healthy\healthy_train_00028.jpg,healthy,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\rosacea\rosacea_train_00029.jpg,rosacea,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00030.jpg,psoriasis,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\eczema\eczema_train_00031.jpg,eczema,train
C:\DATN\skin-ai-project\ai\data\processed\skin_issues\train\psoriasis\psoriasis_train_00032.jpg,psoriasis,train
