file_path,label,split
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00000.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00001.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00002.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00003.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00004.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00005.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\dry\dry_train_00006.jpg,dry,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00007.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00008.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00009.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00010.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00011.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00012.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00013.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00014.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00015.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00016.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\dry\dry_train_00017.jpg,dry,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00018.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00019.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00020.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00021.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00022.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\dry\dry_train_00023.jpg,dry,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00024.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00025.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00026.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00027.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00028.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00029.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00030.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00031.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00032.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00033.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00034.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00035.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00036.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00037.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00038.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00039.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00040.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\dry\dry_train_00041.jpg,dry,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00042.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\dry\dry_train_00043.jpg,dry,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00044.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00045.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00046.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00047.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00048.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\oily\oily_train_00049.jpg,oily,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00050.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00051.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00052.jpg,normal,train
C:\DATN\skin-ai-project\ai\data\processed\skin_type\train\normal\normal_train_00053.jpg,normal,train
